date,deepSleepTimeMin,shallowSleepTimeMin,wakeTimeBetweenSleepMin,start,stop,startTime,endTime,timeAsleep
10/1/19,116,296,66,1569892080,1569920760,1:08:00 AM,9:06:00 AM,346
10/2/19,173,270,0,1569975420,1570002000,12:17:00 AM,7:40:00 AM,443
10/3/19,132,337,0,1570061340,1570089480,12:09:00 AM,7:58:00 AM,469
10/4/19,149,399,0,1570147080,1570179960,11:58:00 PM,9:06:00 AM,548
10/5/19,108,319,0,1570237980,1570263600,1:13:00 AM,8:20:00 AM,427
10/6/19,205,337,0,1570320300,1570352820,12:05:00 AM,9:07:00 AM,542
10/7/19,65,251,0,1570411140,1570430100,1:19:00 AM,6:35:00 AM,316
10/8/19,153,244,0,1570488900,1570512720,10:55:00 PM,5:32:00 AM,397
10/9/19,117,280,0,1570578780,1570602600,11:53:00 PM,6:30:00 AM,397
10/10/19,92,282,0,1570666560,1570689000,12:16:00 AM,6:30:00 AM,374
10/11/19,167,252,0,1570749240,1570774380,11:14:00 PM,6:13:00 AM,419
10/12/19,119,293,0,1570839480,1570864200,12:18:00 AM,7:10:00 AM,412
10/13/19,123,332,0,1570929120,1570956420,1:12:00 AM,8:47:00 AM,455
10/14/19,88,384,0,1571014500,1571042820,12:55:00 AM,8:47:00 AM,472
10/15/19,173,286,0,1571098200,1571125740,12:10:00 AM,7:49:00 AM,459
10/16/19,202,280,0,1571180280,1571209200,10:58:00 PM,7:00:00 AM,482
10/17/19,97,319,0,1571275620,1571300580,1:27:00 AM,8:23:00 AM,416
10/18/19,147,336,0,1571358600,1571387580,12:30:00 AM,8:33:00 AM,483
10/19/19,103,387,0,1571448120,1571477520,1:22:00 AM,9:32:00 AM,490
10/20/19,107,313,0,1571537580,1571562780,2:13:00 AM,9:13:00 AM,420
10/21/19,77,277,0,1571616960,1571638200,12:16:00 AM,6:10:00 AM,354
10/22/19,188,259,0,1571704620,1571731440,12:37:00 AM,8:04:00 AM,447
10/23/19,163,283,0,1571787600,1571814360,11:40:00 PM,7:06:00 AM,446
10/24/19,0,0,0,1571781600,1571781600,10:00:00 PM,10:00:00 PM,0
10/25/19,215,304,0,1571962020,1571993160,12:07:00 AM,8:46:00 AM,519
10/26/19,61,409,0,1572050880,1572079080,12:48:00 AM,8:38:00 AM,470
10/27/19,109,419,0,1572136500,1572168180,12:35:00 AM,9:23:00 AM,528
10/28/19,40,245,0,1572227700,1572244800,1:55:00 AM,6:40:00 AM,285
10/29/19,164,385,0,1572304800,1572337740,11:20:00 PM,8:29:00 AM,549
10/30/19,128,277,0,1572399960,1572424260,1:46:00 AM,8:31:00 AM,405
10/31/19,161,400,0,1572482460,1572516120,12:41:00 AM,10:02:00 AM,561
11/1/19,149,324,0,1572573780,1572602160,2:03:00 AM,9:56:00 AM,473
11/2/19,106,329,0,1572654060,1572680160,12:21:00 AM,7:36:00 AM,435
11/3/19,104,302,0,1572751260,1572775620,3:21:00 AM,10:07:00 AM,406
11/4/19,105,430,0,1572828600,1572860700,12:50:00 AM,9:45:00 AM,535
11/5/19,96,210,0,1572916140,1572934500,1:09:00 AM,6:15:00 AM,306
11/6/19,136,364,0,1573006200,1573036200,2:10:00 AM,10:30:00 AM,500
11/7/19,112,414,0,1573095360,1573126920,2:56:00 AM,11:42:00 AM,526
11/8/19,99,193,2,1573177620,1573195260,1:47:00 AM,6:41:00 AM,290
11/9/19,131,407,0,1573263660,1573295940,1:41:00 AM,10:39:00 AM,538
11/10/19,80,374,0,1573353360,1573380600,2:36:00 AM,10:10:00 AM,454
11/11/19,120,263,0,1573436820,1573459800,1:47:00 AM,8:10:00 AM,383
11/12/19,89,376,0,1573525680,1573553580,2:28:00 AM,10:13:00 AM,465
11/13/19,72,250,0,1573609560,1573628880,1:46:00 AM,7:08:00 AM,322
11/14/19,143,296,0,1573699620,1573725960,2:47:00 AM,10:06:00 AM,439
11/15/19,105,363,0,1573788000,1573816080,3:20:00 AM,11:08:00 AM,468
11/16/19,131,151,0,1573874220,1573891140,3:17:00 AM,7:59:00 AM,282
11/17/19,188,327,0,1573958460,1573989360,2:41:00 AM,11:16:00 AM,515
11/18/19,101,319,0,1574041500,1574066700,1:45:00 AM,8:45:00 AM,420
11/19/19,0,0,0,1574031600,1574031600,11:00:00 PM,11:00:00 PM,0
11/20/19,175,501,0,1574206380,1574246940,11:33:00 PM,10:49:00 AM,676
11/21/19,70,148,0,1574305320,1574318400,3:02:00 AM,6:40:00 AM,218
11/22/19,241,353,0,1574387400,1574423040,1:50:00 AM,11:44:00 AM,594
11/23/19,123,291,53,1574477280,1574505300,2:48:00 AM,10:35:00 AM,361
11/24/19,213,217,0,1574561520,1574587320,2:12:00 AM,9:22:00 AM,430
11/25/19,134,414,0,1574639760,1574672640,11:56:00 PM,9:04:00 AM,548
11/26/19,145,384,0,1574732220,1574763960,1:37:00 AM,10:26:00 AM,529
11/27/19,128,264,0,1574820480,1574844000,2:08:00 AM,8:40:00 AM,392
11/28/19,135,269,0,1574907360,1574931600,2:16:00 AM,9:00:00 AM,404
