logId,dateOfSleep,startTime,endTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,type,infoCode,logType,mainSleep
28233683168,7/29/20,2020-07-28 / 22:22:00.000,2020-07-29 / 06:50:00.000,30480000,0,459,49,0,508,95,stages,0,auto_detected,TRUE
28221114098,7/28/20,2020-07-27 / 22:43:00.000,2020-07-28 / 05:13:00.000,23400000,0,337,53,0,390,90,stages,0,auto_detected,TRUE
28209500788,7/27/20,2020-07-26 / 22:50:30.000,2020-07-27 / 05:07:00.000,22560000,0,334,42,0,376,96,stages,0,auto_detected,TRUE
28197204582,7/26/20,2020-07-25 / 23:33:00.000,2020-07-26 / 08:10:30.000,31020000,0,452,65,0,517,95,stages,0,auto_detected,TRUE
28180233060,7/25/20,2020-07-24 / 23:35:30.000,2020-07-25 / 08:26:30.000,31860000,0,460,71,0,531,94,stages,0,auto_detected,TRUE
28168155782,7/24/20,2020-07-23 / 22:12:00.000,2020-07-24 / 06:49:00.000,31020000,0,459,58,0,517,92,stages,0,auto_detected,TRUE
28153974302,7/23/20,2020-07-22 / 22:24:00.000,2020-07-23 / 05:16:00.000,24720000,0,375,37,0,412,95,stages,0,auto_detected,TRUE
28139783676,7/22/20,2020-07-21 / 22:32:30.000,2020-07-22 / 06:54:30.000,30120000,0,441,61,0,502,95,stages,0,auto_detected,TRUE
28126523913,7/21/20,2020-07-20 / 23:01:00.000,2020-07-21 / 05:17:00.000,22560000,0,340,36,0,376,95,stages,0,auto_detected,TRUE
28126523912,7/20/20,2020-07-19 / 22:23:00.000,2020-07-20 / 06:44:30.000,30060000,0,423,78,0,501,90,stages,0,auto_detected,TRUE
28099633971,7/19/20,2020-07-18 / 23:46:00.000,2020-07-19 / 08:24:30.000,31080000,0,459,59,0,518,93,stages,0,auto_detected,TRUE
28091629886,7/18/20,2020-07-17 / 23:09:30.000,2020-07-18 / 08:18:30.000,32940000,0,486,63,0,549,94,stages,0,auto_detected,TRUE
28074492468,7/17/20,2020-07-16 / 22:39:00.000,2020-07-17 / 07:01:30.000,30120000,0,457,45,0,502,97,stages,0,auto_detected,TRUE
28066589311,7/16/20,2020-07-15 / 23:03:00.000,2020-07-16 / 05:17:30.000,22440000,0,324,50,0,374,92,stages,0,auto_detected,TRUE
28066589310,7/15/20,2020-07-14 / 23:16:30.000,2020-07-15 / 06:58:00.000,27660000,0,422,39,0,461,92,stages,0,auto_detected,TRUE
28066589309,7/14/20,2020-07-14 / 15:15:00.000,2020-07-14 / 16:48:00.000,5580000,0,85,8,0,93,91,classic,2,auto_detected,FALSE
28066589308,7/14/20,2020-07-13 / 22:58:00.000,2020-07-14 / 05:11:00.000,22380000,0,336,37,0,373,93,stages,0,auto_detected,TRUE
28017311570,7/13/20,2020-07-12 / 22:49:30.000,2020-07-13 / 05:14:30.000,23100000,0,345,40,0,385,95,stages,0,auto_detected,TRUE
28002406902,7/12/20,2020-07-11 / 23:14:30.000,2020-07-12 / 09:16:00.000,36060000,0,544,57,0,601,95,stages,0,auto_detected,TRUE
27989421144,7/11/20,2020-07-10 / 23:35:00.000,2020-07-11 / 08:18:30.000,31380000,0,479,44,0,523,96,stages,0,auto_detected,TRUE
27979801302,7/10/20,2020-07-09 / 23:21:00.000,2020-07-10 / 08:27:30.000,32760000,0,491,55,0,546,96,stages,0,auto_detected,TRUE
27961339942,7/9/20,2020-07-08 / 22:49:30.000,2020-07-09 / 05:07:00.000,22620000,0,334,43,0,377,93,stages,0,auto_detected,TRUE
27961339941,7/8/20,2020-07-07 / 22:41:00.000,2020-07-08 / 06:10:30.000,26940000,0,414,35,0,449,97,stages,0,auto_detected,TRUE
27929655225,7/7/20,2020-07-06 / 23:06:30.000,2020-07-07 / 05:22:00.000,22500000,0,338,37,5,375,94,stages,0,auto_detected,TRUE
27929655224,7/6/20,2020-07-05 / 22:55:30.000,2020-07-06 / 06:59:00.000,28980000,0,433,50,1,483,94,stages,0,auto_detected,TRUE
27904864521,7/5/20,2020-07-04 / 23:20:00.000,2020-07-05 / 08:55:00.000,34500000,0,520,55,1,575,96,stages,0,auto_detected,TRUE
27887802559,7/4/20,2020-07-03 / 23:28:30.000,2020-07-04 / 07:55:30.000,30420000,0,456,51,0,507,97,stages,0,auto_detected,TRUE
27876492788,7/3/20,2020-07-02 / 22:33:00.000,2020-07-03 / 07:46:30.000,33180000,0,504,49,0,553,96,stages,0,auto_detected,TRUE
27864002607,7/2/20,2020-07-01 / 22:21:30.000,2020-07-02 / 05:57:00.000,27300000,0,410,45,0,455,95,stages,0,auto_detected,TRUE
27864002605,7/1/20,2020-06-30 / 22:50:00.000,2020-07-01 / 06:53:00.000,28980000,0,435,48,0,483,96,stages,0,auto_detected,TRUE
27864002604,6/30/20,2020-06-30 / 15:14:00.000,2020-06-30 / 16:57:30.000,6180000,0,100,3,0,103,97,classic,2,auto_detected,FALSE
27833566595,6/30/20,2020-06-29 / 22:50:00.000,2020-06-30 / 05:09:30.000,22740000,0,332,47,0,379,90,stages,0,auto_detected,TRUE
27828342410,6/29/20,2020-06-28 / 22:49:00.000,2020-06-29 / 07:02:00.000,29580000,0,429,64,0,493,93,stages,0,auto_detected,TRUE
27810043256,6/28/20,2020-06-27 / 23:32:30.000,2020-06-28 / 08:56:30.000,33840000,0,493,71,0,564,95,stages,0,auto_detected,TRUE
27799959295,6/27/20,2020-06-27 / 14:40:30.000,2020-06-27 / 15:47:30.000,4020000,0,59,8,0,67,88,classic,2,auto_detected,FALSE
27799959294,6/27/20,2020-06-26 / 22:53:30.000,2020-06-27 / 08:08:00.000,33240000,0,520,34,0,554,94,classic,0,auto_detected,TRUE
27799959293,6/26/20,2020-06-26 / 14:09:00.000,2020-06-26 / 15:48:00.000,5940000,0,96,3,0,99,97,classic,2,auto_detected,FALSE
27799959292,6/26/20,2020-06-25 / 22:53:30.000,2020-06-26 / 07:01:00.000,29220000,0,430,57,0,487,94,stages,0,auto_detected,TRUE
27799959291,6/25/20,2020-06-24 / 22:00:30.000,2020-06-25 / 05:03:00.000,25320000,0,380,42,0,422,89,stages,0,auto_detected,TRUE
27755698677,6/24/20,2020-06-23 / 22:51:30.000,2020-06-24 / 06:42:30.000,28260000,0,427,44,0,471,92,stages,0,auto_detected,TRUE
27742029237,6/23/20,2020-06-22 / 22:04:30.000,2020-06-23 / 04:47:30.000,24180000,0,361,42,3,403,94,stages,0,auto_detected,TRUE
27729538290,6/22/20,2020-06-21 / 22:59:00.000,2020-06-22 / 05:10:30.000,22260000,0,336,35,0,371,89,stages,0,auto_detected,TRUE
27716830180,6/21/20,2020-06-20 / 23:09:00.000,2020-06-21 / 07:37:30.000,30480000,0,459,49,1,508,94,stages,0,auto_detected,TRUE
27704263518,6/20/20,2020-06-19 / 23:58:00.000,2020-06-20 / 08:10:00.000,29520000,0,453,39,1,492,96,stages,0,auto_detected,TRUE
27704263517,6/19/20,2020-06-19 / 12:31:00.000,2020-06-19 / 14:14:00.000,6180000,0,95,8,0,103,92,classic,2,auto_detected,FALSE
27704263516,6/19/20,2020-06-18 / 22:35:30.000,2020-06-19 / 05:12:00.000,23760000,0,352,44,0,396,95,stages,0,auto_detected,TRUE
27678030498,6/18/20,2020-06-17 / 22:33:30.000,2020-06-18 / 05:13:30.000,24000000,0,347,53,0,400,96,stages,0,auto_detected,TRUE
27678030497,6/17/20,2020-06-16 / 22:27:00.000,2020-06-17 / 07:01:30.000,30840000,0,464,50,0,514,96,stages,0,auto_detected,TRUE
27650390145,6/16/20,2020-06-15 / 23:10:00.000,2020-06-16 / 05:07:30.000,21420000,0,323,34,0,357,95,stages,0,auto_detected,TRUE
27638571702,6/15/20,2020-06-14 / 23:17:30.000,2020-06-15 / 06:59:00.000,27660000,0,420,41,0,461,95,stages,0,auto_detected,TRUE
27623731662,6/14/20,2020-06-14 / 00:33:00.000,2020-06-14 / 08:13:00.000,27600000,0,398,62,0,460,96,stages,0,auto_detected,TRUE
27599803678,6/12/20,2020-06-11 / 22:46:30.000,2020-06-12 / 06:54:30.000,29280000,0,446,42,0,488,98,stages,0,auto_detected,TRUE
27579122560,6/11/20,2020-06-10 / 22:33:30.000,2020-06-11 / 05:32:30.000,25140000,0,366,53,0,419,90,stages,0,auto_detected,TRUE
