category,item,variety,date,price,unit
fruit,apples,bramleys_seedling,2022-03-11,2.05,kg
fruit,apples,coxs_orange_group,2022-03-11,1.22,kg
fruit,apples,egremont_russet,2022-03-11,1.14,kg
fruit,apples,braeburn,2022-03-11,1.05,kg
fruit,apples,gala,2022-03-11,1.03,kg
fruit,apples,other_late_season,2022-03-11,0.85,kg
fruit,pears,conference,2022-03-11,0.77,kg
fruit,pears,doyenne_du_comice,2022-03-11,1.24,kg
vegetable,beetroot,beetroot,2022-03-11,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-03-11,0.78,kg
vegetable,pak_choi,pak_choi,2022-03-11,3.17,kg
vegetable,curly_kale,curly_kale,2022-03-11,3.17,kg
vegetable,cabbage,red,2022-03-11,0.59,kg
vegetable,cabbage,savoy,2022-03-11,0.51,head
vegetable,spring_greens,prepacked,2022-03-11,1.04,kg
vegetable,cabbage,white,2022-03-11,0.41,kg
vegetable,cabbage,round_green_other,2022-03-11,0.46,head
vegetable,carrots,topped_washed,2022-03-11,0.42,kg
vegetable,cauliflower,all,2022-03-11,0.7,head
vegetable,celeriac,celeriac,2022-03-11,0.81,kg
vegetable,cucumbers,cucumbers,2022-03-11,1.35,kg
vegetable,leeks,trimmed,2022-03-11,1.12,kg
vegetable,lettuce,butterhead_indoor,2022-03-11,0.44,head
vegetable,lettuce,little_gem,2022-03-11,0.78,twin
vegetable,onion,bulb_brown,2022-03-11,0.39,kg
vegetable,onion,bulb_red,2022-03-11,0.59,kg
vegetable,swede,swede,2022-03-11,0.24,kg
vegetable,turnip,turnip,2022-03-11,0.63,kg
vegetable,parsnips,all_varieties,2022-03-11,1,kg
vegetable,rhubarb,forced,2022-03-11,4.35,kg
vegetable,rhubarb,outdoor,2022-03-11,3.07,kg
cut_flowers,tulips,tulips,2022-03-11,0.29,stem
fruit,apples,bramleys_seedling,2022-03-04,1.89,kg
fruit,apples,coxs_orange_group,2022-03-04,1.17,kg
fruit,apples,egremont_russet,2022-03-04,1.16,kg
fruit,apples,braeburn,2022-03-04,1.07,kg
fruit,apples,gala,2022-03-04,1.06,kg
fruit,apples,other_late_season,2022-03-04,1.11,kg
fruit,pears,conference,2022-03-04,0.88,kg
